x,y,z,value
1,1,0.1,257.4
3,1,0.1,257.4
6,1,0.1,173.9
9,1,0.1,101.5
1,2,0.1,378.6
4,2,0.1,331.8
5,2,0.1,275
8,2,0.1,143
1,3,0.1,607.2
3,3,0.1,607.2
6,3,0.1,284.8
7,3,0.1,216
1,4,0.1,1109.7
4,4,0.1,784.9
7,4,0.1,257.4
9,4,0.1,145.6
1,5,0.1,2475.4
5,5,0.1,715.1
7,5,0.1,295.2
8,5,0.1,210.3
1,6,0.1,6436
3,6,0.1,6436
6,6,0.1,495.1
9,6,0.1,163.4
1,7,0.1,6436
4,7,0.1,1892.9
6,7,0.1,495.1
7,7,0.1,318.6
1,8,0.1,2475.4
4,8,0.1,1287.2
5,8,0.1,715.1
8,8,0.1,210.3
1,9,0.1,1109.7
3,9,0.1,1109.7
8,9,0.1,190.4
9,9,0.1,145.6
